wknr	wkname	state	eligibles	eligibles_last	firstvote	firstvote_last	secondvote	secondvote_last	firstvote_valid	firstvote_valid_last	secondvote_valid	secondvote_valid_last	cdu1	cdu1_last	cdu2	cdu2_last	spd1	spd1_last	spd2	spd2_last	lin1	lin1_last	lin2	lin2_last	gru1	gru1_last	gru2	gru2_last	csu1	csu1_last	csu2	csu2_last	fdp1	fdp1_last	fdp2	fdp2_last	afd1	afd1_last	afd2	afd2_last
67	Börde – Jerichower Land	Sachsen-Anhalt	220787	228139	150499	141814	150499	141814	145943	138838	148085	139326	55120	61890	47411	60207	29175	32118	24055	27279	29605	29759	24709	30235	3539	3611	4236	4281					11081	3686	11367	3995			27947	5380
68	Harz	Sachsen-Anhalt	215606	224917	143564	132539	143564	132539	141125	129944	141530	130199	51387	59779	47578	56619	24764	24875	22915	24407	27103	29860	25068	29875	4462	4928	4967	4716					6923	1852	9900	2961	22792		23859	4924
69	Magdeburg	Sachsen-Anhalt	238060	244267	162898	154404	162898	154404	160547	151568	160769	152026	44016	55046	44612	56982	34874	38153	27509	31763	30301	38231	30059	36473	6416	6073	8562	8490					10797	2090	12713	3687	24514		26053	6355
70	Dessau – Wittenberg	Sachsen-Anhalt	177004	185954	123392	120805	123392	120805	121325	118969	121666	119047	42768	53048	38736	50633	14796	20545	17350	20354	22073	26015	21090	27136	5596	5196	4292	4703					6043	1489	8932	2892	23502	5575	24310	6050
71	Anhalt	Sachsen-Anhalt	224494	236732	147940	140667	147940	140667	145188	137953	145518	138169	45844	56514	44619	57357	18686	21244	20271	23224	30757	39715	25887	35425	2854	2884	3455	3572					9213	2778	10849	3556	32279	6314	32346	6635
72	Halle	Sachsen-Anhalt	214668	219667	152485	143332	152485	143332	150268	141147	150299	141290	40688	51206	39832	53265	32051	32957	21195	25259	30528	36006	28891	34449	5475	5286	10457	10185					10131	2958	13533	4418	26017	4768	26735	5879
73	Burgenland – Saalekreis	Sachsen-Anhalt	191636	201043	131199	123809	131199	123809	128901	121639	129199	121847	43246	54544	38672	52194	16930	18791	17098	19850	21816	31300	21038	28933	3205	4760	3366	3732					8530	1879	10129	3374	30111		31780	5234
74	Mansfeld	Sachsen-Anhalt	207102	217783	140234	132983	140234	132983	137655	130411	137927	130694	42727	54705	39755	53869	20865	23560	19834	22399	24860	35982	23905	33613	3657	3193	3250	3637					11091	2458	11233	3837	32852		32982	5378
75	Berlin-Mitte	Berlin	206706	204085	151634	141574	151634	141574	148271	139292	149420	139400	27537	33265	27906	31544	34818	39360	26799	36403	30313	23200	31928	26068	26607	25687	25802	23329					8948	2088	12958	5134	11745	4212	12319	5443
76	Berlin-Pankow	Berlin	237071	235344	188607	175061	188607	175061	186279	172647	186409	172824	36472	41295	36993	40617	30564	36180	29186	38030	53618	48926	43638	43472	26360	25442	26619	24300					7858	1581	12304	4380	22441	7088	23291	8372
77	Berlin-Reinickendorf	Berlin	182392	182934	137084	133484	137084	133484	134759	130881	134913	131056	49620	58845	41890	52545	31893	38593	27096	34571	10374	8508	11508	10394	10633	8790	12302	11427					9646	2605	15278	5708	17714	5852	18484	7906
78	Berlin-Spandau – Charlottenburg Nord	Berlin	184602	187363	132934	130485	132934	130485	130556	127763	130658	127846	40356	50071	36703	46757	41966	47790	29721	36932	9850	9199	12761	12146	8027	5942	11053	10542					8283	1788	12937	4856	17552	5543	18469	7458
79	Berlin-Steglitz-Zehlendorf	Berlin	221209	220007	180827	175539	180827	175539	178342	172980	178717	173437	63057	73460	53277	64500	43770	50540	34180	44371	13401	9102	16360	12426	22719	20416	25340	23487					16105	4605	25324	11057	14570	7321	15879	9257
80	Berlin-Charlottenburg-Wilmersdorf	Berlin	198672	197797	158245	153420	158245	153420	156309	151334	156816	151665	47189	56079	40120	49285	43160	47619	30489	41058	14745	9368	18322	13446	21233	22176	24794	23324					14420	3801	23296	10347	11807	5649	12418	7276
81	Berlin-Tempelhof-Schöneberg	Berlin	235250	235259	181259	177205	181259	177205	178598	174159	179097	174432	51734	60926	44721	55275	39278	45659	36179	47834	19353	12801	23652	17937	33774	35461	27962	26941					11361	2585	18576	7134	16200	6391	17122	7988
82	Berlin-Neukölln	Berlin	202616	205635	143790	140825	143790	140825	141220	137723	140810	137957	34490	42092	31439	40038	37795	44528	27434	36211	23398	16144	25835	19677	15485	16126	18393	19156					7149	1861	10847	4122	15142	4140	15666	5832
